No,질문,답변
000576,"- 화면번호 : 1389
- 전화번호 : 
- 문의내용 : 안녕하세요. 특정 etf의 모든 구성종목들을 사용자구성에 종목들 등록하고 싶은데, 한 종목씩 끌어다 입력해야 할까요? 
","안녕하세요. CHECKExpert+ 입니다.
엑셀로 일괄 입력이 가능합니다.
절차 상으로 
1) 1389 화면 엑셀 입력에 필요한 포맷을 내려받고
2) 필요한 ETF의 PDF를 내려받은 후,
3) 1)번 포맷에 2)번 종목코드를 입력하면 됩니다.

1)번 절차는 관심종목(1389) > 등록(우상단 버튼) > 내보내기 > 단일파일 > 파일 저장 순서로 포맷을 입력하시면 됩니다. 해당 파일은 제가 첨부하도록 하겠습니다.

2)번 절차는 화면번호 1448 > ETF 검색 > 우클릭 > 전체 영역 엑셀로 보내기 순서로 하시면 ETF 구성종목의 PDF를 엑셀로 받으실 수 있습니다.

1)번 포맷에 2)번에서 받은 엑셀의 A열만 복사하시면 입력 가능한 엑셀 파일이 만들어진 것입니다.

이 파일을 관심종목 > 등록 > 가져오기 > 단일파일 순으로 선택하셔서 업로드 하시면 ETF의 구성종목들을 등록하실 수 있습니다.

추가로 궁금하신 사항 있으시면, 02-767-8795 로 연락 부탁드립니다.

감사합니다.
"
000575,"- 화면번호 : 6152
- 전화번호 : 
- 문의내용 : 안녕하세요 프로그램매매 일별추이를 보고 있습니다. 7번째 열부터 금액/비중 형태로 각 거래에 대해서 수치가 나와있는데,
해당 비중에 대한 분모가 무엇인지 궁금하여 문의드립니다.","안녕하세요. CHECKExpert+ 입니다.
해당 시장(유가 또는 코스닥)의 거래대금입니다.
거래대금은 1143에서 확인하실 수 있습니다.

감사합니다."
000574,"- 화면번호 : 1915 등
- 전화번호 : 
- 문의내용 : 안녕하세요, 종목별로는 실시간 상위 거래원/일별 거래원정보를 볼 수 있는 화면이 있는데, 업종별로는 거래원정보를 제공하지 않나요? 실시간/일별 둘다 좋습니다","안녕하세요. CHECKExpert+ 입니다.
업종별 거래원 정보를 제공하는 화면은 없습니다.
감사합니다."
000571,"- 화면번호 : 8112, 1389
- 전화번호 :
- 문의내용 : 
1389 관심종목 화면에서 해외 종목들을 등록하였는데 해당 종목을 클릭하여 선택하면 8112 신종합차트에 바로 연동되지 않습니다. 연동되게 하려면 어떻게 해야할까요? 감사합니다.","안녕하세요. CHECKExpert+ 입니다.
8112 화면과 1389 화면의 맨윗쪽 타이틀을 보시면, 
""종목코드연동""이라는 항목이 있는데요. 
두 화면의 ""종목코드연동""을 같은 숫자로 세팅하시면 연동이 가능합니다. 
감사합니다."
000565,"- 화면번호 : -
- 전화번호 : 
- 문의내용 : 오늘 갑자기 화면이 다크모드가 적용되어서,
기존 UI(청색 계열) 로 돌리려면 어떤메뉴 봐야하는지 궁금합니다.","안녕하세요. CHECKExpert+ 입니다.
F5 를 누르시면, 환경통합설정 화면이 나옵니다.
이 화면에서 테마색상 및 글꼴>테마변경 에서 원하시는 테마로 변경하시면 됩니다.
감사합니다."
000555,"- 화면번호 : 
- 전화번호 : 
- 문의내용 : 모바일 체크를 이용하고 싶은데 아이디를 알 수 있을까요?","안녕하세요. CHECKExpert+ 입니다.
9029 화면에서 Check 모바일 사용 신청을 하시면,
승인 후 사용 가능합니다.

감사합니다."
000554,"- 화면번호 : 1616
- 전화번호 : 
- 문의내용 : 아래 질문에 더해서 1616은 체결건별로 회원사 매매를 그대로 볼 수 있는 것 같은데 이것또한 개인투자자 접근 가능한 정보인지+ 실시간 제공 정보인지 확인 부탁드립니다.","안녕하세요. CHECKExpert+ 입니다.
해당 원데이터는 거래소를 통해서 각 증권사에서 동일하게 받을 수 있지만, 1616 화면 형태로 제공하는지는 증권사마다 다를 것 같습니다.

정확히는 실시간 정보라기 보기는 어렵고, 회원사 정보의 산출주기는 정해지지 않았습니다.
유가증권시장 또는 코스닥시장 내에서 해당 기간 체결이 이루어진 종목에 연동해서 보여집니다.

감사합니다."
000553,"- 화면번호 : 1623
- 전화번호 : 
- 문의내용 : 해당화면 실시간으로 회원사에서 나오는 주문 반영해서 거래량 거래대금 산출되는것인지, 해당화면을 증권사 통해서 개인투자자들도 볼 수 있는건지 궁금합니다. 그렇다면 종목별 상위5개사 화면과 마찬가지로 개인투자자들이 외국인매매 동향 파악을 위한 자료로 사용할 수 있는 화면인가 해서요","안녕하세요. CHECKExpert+ 입니다.
회원사 정보의 산출주기는 정해지지 않고, 유가증권시장 또는 코스닥시장 내에서 해당 기간 체결이 이루어진 종목에 연동해서 보여집니다.

해당 원데이터는 거래소를 통해서 각 증권사에서 동일하게 받을 수 있지만, 1623 화면 형태로 제공하는지는 증권사마다 다를 것 같습니다.

때에 따라서는 외국인 매매 동향 파악을 위한 자료로 사용할 수 있습니다만, 완전히 일치된다고 보기는 어렵습니다. 

감사합니다."
000550,"- 화면번호 : 1912
- 전화번호 : 
- 문의내용 : 안녕하십니까
1912 화면 외국인 거래대금에 ETF 매매금액도 포함된건지 궁금합니다
1948 에 ETF 가 따로 집계되는데요? 
이 내역이 1912 (전체 + KOSPI + KOSDAQ) 에 포함돼있는지 궁금합니다","안녕하세요. CHECKExpert+ 입니다.
1912 화면 데이터는 ETF/ETN이 포함되지 않은 데이터입니다.

감사합니다."
000535,"- 화면번호 : 1600
- 전화번호 : 
- 문의내용 : 안녕하세요, 한국거래소 주식시장부입니다. 1600화면의 매수매도 상위 5개 거래원 정보의 산출주기가 궁금합니다. 또, 저희가 분석목적으로 이용하려고 하는데 해당 정보의 과거데이터를 받을 수 있는지  OR 과거 데이터도 조회 가능한 화면이 있는지 궁금합니다. 감사합니다!","안녕하세요. CHECKExpert+ 입니다.
회원사 정보의 산출주기는 정해지지 않고, 유가증권시장 또는 코스닥시장 내에서 해당 기간 체결이 이루어진 종목에 연동합니다.
예를 들어, 유가증권시장에서 체결이 이뤄진 종목이 700종목이라면, 거래원정보의 업데이트는 대략 70초 후에 이뤄지게 됩니다.

종목별 회원사별 일자별 거래내역은 화면번호 1609 에서 확인할 수 있습니다.

감사합니다."
000513,"- 화면번호 : 
- 전화번호 : 
- 문의내용 : 안녕하세요! reg s 종목을 볼 수 있는 화면이 있을까요? ","안녕하세요. CHECKExpert+ 입니다.
죄송하지만, 현재 Reg.S 상태인 종목을 모아놓은 화면은 없습니다.
다만, 화면번호 1462에서 KDR을 선택하시면, 국내증시에 이중상장된 외국기업 리스트는 확인하실 수 있습니다.
감사합니다."
000512,"- 화면번호 : 6460
- 전화번호 : 
- 문의내용 : Samsung Blockchain Technology ETF 가 지난주에 상장되었는데요, 리스트 없습니다. 왜 그런건가요 ? 
","안녕하세요. CHECKExpert+ 입니다.
현재 화면번호 6330에서는 해당 ETF(3171.HK) 검색이 가능하나,
화면번호 6460에서는 아직 반영되지 않고 있습니다.
이유는 ETF 신규 상장 시 Check에 반영되는 소스가 다르기 때문입니다.
현재 관련 업체(모닝스타)에 해당 상황을 문의했으며, 최대한 조속히 반영되도록 조치를 취하겠습니다.

감사합니다."
000495,"- 화면번호 : 
- 전화번호 : 
- 문의내용 : 안녕하세요, 혹시 반대매매 현황을 볼 수 있는 화면이 있나요?? 만약 없다면 혹시 담보부족계좌 수를 볼 수 있는 화면은 있나요??","안녕하세요. CHECKExpert+ 입니다.
반대매매 현황 데이터는 없고,
화면번호 1811에서 업종별잔고추이를 통해 신용잔고 변화를 알 수 있습니다.
결제일 기준이기 때문에 2거래일 전의 신용잔고까지만 알 수 있습니다.

담보부족계좌수는 증권사 내부정보로 집계가 어렵습니다. 

감사합니다."
000486,"- 화면번호 : 9029
- 전화번호 : 
- 문의내용 : 모바일 사용신청 해지 방법 문의드립니다.","안녕하세요. CHECKExpert+ 입니다.
화면번호 9029에서 우상단에 ""해지""를 선택하신 후 가운데 ""등록""을 선택하시면, 해지신청이 됩니다.
감사합니다."
000472,"- 화면번호 : 8112
- 전화번호 : 
- 문의내용 : 기술적지표를 챠트에 포함시킬때 가격 이동평균 3개를 현재 5, 20,60으로 되어 있는것을 20,60,120으로 바꾸고 싶습니다. 그리고 향후 이를 적용시킬때 항상 그렇게 되기를 바랍니다. 어떻게 해야 되는것일까요 ? ","안녕하세요. CHECKExpert+ 입니다.
필요하신 내용은 1) 이동평균선 변경 방법 2) 변경 챠트 자동 저장 방법으로 나눠서 설명드리겠습니다.

먼저, 이동평균선 변경 방법은 챠트 우상단에 이동평균선을 더블클릭하시면, 
(예를 들어, MA(5), MA(20), MA(60)으로 표시된 숫자 위)
챠트 이동평균선을 설정하실 수 있습니다.

변경된 내용을 자동 저장하시려면, 3가지 방법이 있습니다.
(1) 환경통합설정 화면을 불러오는 F5를 누르시고, 시작화면에서 ""종료시 화면""을 선택하시면, 종료시 화면 그대로 챠트를 포함한 전체 종료 직전 화면이 나옵니다.
(2) 페이지 관리(F2)를 누르셔서 설정한 화면 구성을 저장해서 사용할 수 있습니다.
(2) 8112 화면 좌상단에 ""저장"" 표시가 있는데, 이 표시를 클릭하시면 설정된 현재 챠트가 저장됩니다. ""저장"" 표시 왼쪽에 있는 ""열기"" 그림을 클릭하시면, 저장하신 챠트를 사용하실 수 있습니다.

글로 작성된 내용이 헷갈릴 수 있을 것 같은데, 추가로 문의 있으시면 다시 문의 부탁드립니다. 감사합니다."
000464,"- 화면번호 : 4312
- 전화번호 : 
- 문의내용 : 화면의 맨마지막 그래프의 순매수(체결) 의 막대그래프가 매수차익으로 설정시 잘못나오고 있는거 같습니다.
유선으로 전화드렸었는데 수정부탁 좀 드립니다. ","안녕하세요. CHECKExpert+ 입니다.
현재 접수되어 수정 개발이 진행되고 있습니다.
개발 일정 상 빠르게 대응하지 못한 점 죄송하게 생각하고 있습니다.

체크 컨텐츠에 많은 관심 가져주셔서 감사합니다. 
"
000463,"- 화면번호 : 모름
- 전화번호 : 
- 문의내용 : 
안녕하세요 일별로 KOSPI/KOSDAQ의 상승종목수, 하락종목수 보합종목수를 볼 수 있는 화면이 있을까요?
그리고 일별로 KOSPI 거래대금 , KOSDAQ 거래대금을 볼 수 있는 화면도 있을까요? 참고하는 화면은 키움 영웅문의 0200 입니다.
감사합니다!","안녕하세요. CHECKExpert+ 입니다.
화면번호 1122를 보시면, KOSPI/KOSDAQ의 일별 상승/상한/하락/하한/보합 종목수를 확인할 수 있습니다.
화면번호 1144 또는 1120을 보시면, 주요 업종의 일별 거래대금을 확인할 수 있습니다.
감사합니다."
000457,"- 화면번호 : 4338
- 전화번호 : 
- 문의내용 : 안녕하세요! 
투자자별 순매수 집계에 
시장에서 거래한게 아닌 1:1 cross 로 체결된건도 집계가 되나요? 감사합니다","안녕하세요. CHECKExpert+ 입니다.
투자자별 순매수 집계에서는,
주체별 스프레드 매매의 값만 받아서 계산하고 있습니다.
따라서 말씀하신 체결 내역은 집계가 되지 않습니다.

감사합니다."
000456,"- 화면번호 : 8112
- 전화번호 : 
- 문의내용 : 달러인덱스 관련해 엑셀 프리미엄이 아니라, 8112 종합화면에서 조회를 하면 말씀드린것처럼 2022년 데이터는 조회되지 않습니다","안녕하세요. CHECKExpert+ 입니다.
달러인덱스 종목코드가 변경되면서 8112 화면쪽에는 반영을 못한 것 같습니다.
최대한 빨리 볼 수 있게 처리해 드리겠습니다.
이를 반영하기 이전에는 화면번호 5200 를 참고 부탁드리겠습니다.

이용에 불편을 드려서 죄송합니다.
감사합니다."
000455,"- 화면번호 : 
- 전화번호 : 
- 문의내용 : 달러 인덱스를 차트에 그리고 싶은데, ""USDXX"" 요 지표는 '21.5.22일까지만 나와 있는거 같습니다. 어떤 지표를 사용해야하나요?","안녕하세요. CHECKExpert+ 입니다.
엑셀 프리미엄을 말씀하시는 것 같습니다.
엑셀에 아래 코드를 입력해보시면, 값이 정상적으로 나옵니다.
=CH( """", """", 350, ""D"", TRUE, ""USDXX"", ""15001"", ""DESC"", ""withtable=true;"")

확인 부탁드립니다. 감사합니다."
000454,"- 화면번호 : 모름
- 전화번호 : 
- 문의내용 : 6월 중간배당관련해서 코스피 200이나 코스닥 150의 중간배당자료(과거와 예상배당)를 XL 프리미엄이나 아니면 다른 방법으로 엑셀로 받아볼수 있는 방법이 있을꺼 같습니다.  과거 연말 배당이나 분기별 배당 자료를 엑셀로 받은 자료들이 있는데 데이터값들이어서 Data base에서 추출하는 것으로 찾은거 같습니다. 엑셀 프리미엄을 사용하고 있으니 방법들이 있다면 알려주세요","안녕하세요. CHECKExpert+ 입니다.
필요하신 내용을 XL프리미엄에서 받기 위해서는 1) KOSPI200, KOSDAQ150에 속한 종목의 종목코드 2) 과거 배당 또는 예상 배당의 항목코드를 알아야 합니다.
해당 정보를 이용해서 CH함수에 입력하면, 해당 데이터를 받으실 수 있습니다. 단, 예상 배당 데이터는 저희가 제공하고 있지 않습니다.

예를 들어, 아래 코드를 엑셀 셀에 입력하시면, 삼성전자(종목코드 005930)의 10개(10) 분기(Q) 배당(항목코드 FI0M421200.Q.N)을 받으실 수 있습니다.
=CH( """", """", 10, ""Q"", TRUE, ""005930"", ""15001,FI0M421200.Q.N"", ""DESC"", ""withtable=true;"")

종목코드는 엑셀화면 상단에 종목검색을 선택 후,
코스피200은 주식>유가>KOSPI200 순으로,
코스닥150은 주식/코스닥/KOSDAQ150 순으로 선택하시면 해당 지수에 포함된 종목코드를 확인할 수 있습니다.

감사합니다.

"
000449,"- 화면번호 : 4317
- 전화번호 :
- 문의내용 : 화면에서 선물 선택시 코스피200과 미니코스피200 만 가능한데 
코스닥 150 은 볼가 한거 같은데 매수차익베이시스나 순매수체결 등등 4317의 화면상의 내용을 볼수 있는 방법이 있나요","안녕하세요. CHECKExpert+ 입니다.
말씀하신대로 4317 화면에서는 현재 KOSPI200과 미니KOSPI200에 대한 내용만 제공하고 있습니다.
코스닥150 선물과 관련된 데이터는 
4313 화면과 6151 화면에서 나눠서 확인하실 수 있습니다. 
4313 화면에서는 매도차익Basis 관련 데이터가 있고,
6151 화면에서는 위의 코스닥을 클릭하시면, 코스닥 관련된 프로그램 매매 데이터가 있습니다.

추가로 궁금하신 사항 있으시면 말씀 부탁드립니다.
감사합니다."
000434,"- 화면번호 : 
- 전화번호 : 
- 문의내용 :당일 상하한가 종목 조회 화면 번호를 알고 싶습니다.","안녕하세요. CHECKExpert+ 입니다.
퀵파인더 화면번호 9111 에서 시세동향을 선택하시면,
상한가/하한가를 비롯해 특징적인 시세 변동을 확인하실 수 있습니다.

감사합니다."
000431,"- 화면번호 : 없음
- 전화번호 : 
- 문의내용 : 코스피200지수선물의 틱데이터에서 니케이225 및 항생 등 데이터를 엑셀로 끌어오려고 하는데 빈칸으로 나와서요. 꼭 틱 주기가 아니어도 되니 코스피200지수선물 데이터와 같이 끌어올 수 있는 주기를 알려주시면 감사하겠습니다.","안녕하세요. CHECKExpert+ 입니다.
해당 지수의 틱데이터가 없기 때문에 빈칸으로 나오는 것 같습니다.
화면번호 1002에서 주요 지수를 선택하시면, 우하단 화면에서 해당 지수의 제공 주기를 확인할 수 있습니다.
감사합니다.

"
000429,"- 화면번호 : 1300 현재가
- 전화번호 : 
- 문의내용 : 원하는 호가가 현재가로 바뀌면 알람이 울리는 기능이 있을까요? 가능하다면 여러종목 혹은 여러호가 설정이 가능할까요?","안녕하세요. CHECKExpert+ 입니다.
화면번호 9031 또는 F6 을 누르시면, 시세감시 편집창이 나옵니다.
해당 화면에서 여러 종목에 대한 시세 감시 알림 설정이 가능합니다.

이용해보시고 불편한 점 있으시면 말씀 부탁드립니다.
감사합니다.
"
000406,"- 화면번호 : 1440
- 전화번호 : 
- 문의내용 : 좌측하단 회원사탭 - 전일통계를 엑셀 실시간 붙혀넣기로 연결시켰을때, 회원사가 이름으로 조회되는 것이 아니라 번호로 조회됩니다.
혹시 check 에서 지정해둔 회원사 번호 - 이름 매칭 정보를 받아볼 수 있을까요?","안녕하세요. CHECKExpert+ 입니다.
전일 회원사 정보를 엑셀로 받으실 때 회원사 코드가 아닌 회원사 명으로 받을 수 있도록 수정하겠습니다.
감사합니다."
000401,"- 화면번호 : 
- 전화번호 : 
- 문의내용 : 업종별 시가총액 확인화면이 궁금합니다","안녕하세요. CHECKExpert+ 입니다.
1138 화면에서 시장별로 단순시가총액 기준으로 주요 업종별 시가총액 비중을 확인할 수 있습니다.

감사합니다."
000396,"- 화면번호 : 1440
- 전화번호 : 
- 문의내용 : 안녕하세요. 1440 현재가에서 ETF 보고 있는데요. 탭 중에 회원사 라는 탭에 보면 당일매도/당일매수 증권사 수량별로 1~5등 나열되어 있는데, 해당 자료가 업뎃되는 주기가 어떻게 될까요?? 가령 1분 지연 이라던지 이런게 있을 것 같아서요. 말씀 부탁드립니다!","안녕하세요. CHECKExpert+ 입니다.
거래원 업데이트 주기는 일정하지 않고, 실시간 업데이트도 어렵습니다.
시장별로 동시간대 체결된 종목의 종목수에 따라 통계 산출 시간이 다르기 때문입니다. 즉, 동시간대 체결이 발생한 종목수가 많을수록 업데이트 시간이 늦어집니다.
빠르면 0.2초, 늦으면 수분이 걸릴 수 있습니다.
감사합니다."
000343,"- 화면번호 : 6463
- 전화번호 : 
- 문의내용 : 안녕하세요. 6463 화면에서 1306 JP Equity (ETF) 현재가를 우클릭해서 엑셀에 실시간 가격 변동을 띄우고싶은데 엑셀실시간붙여넣기 하면 N/A 값이 뜨는데 혹 다른 방법이 없을까용?","안녕하세요. CHECKExpert+ 입니다.
XL premium의 CT함수를 활용하여 해당 데이터를 받을 수 있습니다.
엑셀의 특정 Cell에 ""=CT(종목코드,항목코드)""를 입력하시면 됩니다.
말씀하신 데이터는 ""=CT( ""1306"", ""15001"")""라고 입력하시면 값을 확인하실 수 있습니다.
감사합니다."
000337,"- 화면번호 : 
- 전화번호 : 
- 문의내용 : 안녕하세요
체크에서 제공하는 ETF의 전일 NAV 및 현재 NAV는 자체 계산인가요?  혹은 다른 사업자로부터 제공받는 수치인가요? NAV의 계산 방식을 알고 싶습니다.","안녕하세요. CHECKExpert+ 입니다.
체크에서 제공하는 전일NAV(일종의 확정치)는 장종료 후 예탁원에서 계산합니다.
장중 현재NAV(또는 iNAV, 일종의 예상치)는 코스콤에서 계산합니다.
상품별 구체적인 계산방식은 예탁원에 문의하시면 될 것 같습니다.

감사합니다."
000329,"- 화면번호 : 지수정보조회
- 전화번호 : 
- 문의내용 : 
FnGuide 에서 산출되는 TR 지수를 확인할 수 있을까요?
","안녕하세요. CHECKExpert+ 입니다.
당사가 현재 제공하는 모든 지수는 1170 화면에서 확인할 수 있습니다.
지수에 따라 TR지수를 제공하는 경우도 있고, 없는 경우도 있습니다.
혹시 필요한 TR지수명을 알려주시면 제공할 수 있는지 여부를 확인해 드리겠습니다.

감사합니다."
000314,"- 화면번호 : 4257
- 전화번호 : 
- 문의내용 : 4월 14일 전체공시추이를 보고 싶은데 어떻게 해야 할까요?","안녕하세요. CHECKExpert+ 입니다.
아쉽게도 CHECK 단말기에서는 당일의 프로그램 매도/매수 추정금액과 공시추정금액만 제공하고 있습니다. 
2019년 9월 23일부터는 사전/사후공시제도 폐지로 공시추정금액도 제공하지 않고 있습니다.

감사합니다."
000313,"- 화면번호 : 1542
- 전화번호 : 
- 문의내용 : 
코스피나 코스피200등 거래소산출 시총비중과 다른데 
체크에서 쓰시는 시총비중은 어떻게 산출하시는건가요?
","안녕하세요. CHECKExpert+ 입니다.
CHECK에서 산출하는 KOSPI의 종목별 시가총액 비중은 유가증권에 상장된 모든 증권(ETF 등 포함)의 시가총액을 기준으로 종목별 시가총액 비중을 산출하고 있는 반면,
한국거래소에서 산출하는 KOSPI 종목 비중은 상장된 주식만을 기준으로 시가총액 비중을 산출하고 있습니다.

KOSPI200의 경우, CHECK의 종목별 시가총액 비중 산출 방식은 단순시가총액 방식을 사용하는 반면,
한국거래소의 시가총액 비중 산출 방식은 유동비율시가총액 방식을 사용하고 있습니다.

KOSPI지수와 KOSPI200지수는 한국거래소에서 산출하는 방식을 기준으로 산출되고 있지만, 해당 정보는 한국거래소 지수정보 구독 고객(유료)에게만 제공(화면번호 1148)하고 있습니다.

감사합니다."
000294,"- 화면번호 : 
- 전화번호 : 
- 문의내용 : 업종별 시가총액 화면이 궁금합니다","안녕하세요. CHECKExpert+ 입니다.
1138 화면에서 시가총액을 보시면, 업종별 시가총액과 그 비중을 알 수 있습니다.
감사합니다."
000279,"- 화면번호 : 
- 전화번호 : 
- 문의내용 : 스팩 상장(삼성스팩1~x호. 대신스팩1~x 등등) 시세와 함께 모아둔 화면번호가 따로 있을까요?","안녕하세요. CHECKExpert+ 입니다.
1551 화면에서 위쪽에 SPAC을 클릭하시면, SPAC의 시세 확인이 가능합니다.

감사합니다."
000261,"- 화면번호 : 6471
- 전화번호 : 
- 문의내용 : 해당 페이지는 현물가격인지 선물가격인지 궁금합니다.","안녕하세요. CHECKExpert+ 입니다.
상품별로 선물과 현물이 섞여 있어서 개별 상품별로 따로 확인하실 수 있습니다.
6472 화면에서 거래소를 선택하시면, 인도월 항목에 해당 상품이 선물인지 현물인지 확인할 수 있습니다.
감사합니다."
000259,"- 화면번호 : 
- 전화번호 : 
- 문의내용 :안녕하세요 혹시 K200 주식 비중처럼 코스피 지수 종목별 비중 나오는 화면이 있을까요","안녕하세요. CHECKExpert+ 입니다.
1335 화면에서 확인 가능하십니다.
감사합니다."
000255,"- 화면번호 : 6460
- 전화번호 : 
- 문의내용 : 해외 주식 및 ETF 종목별 20일 평균 거래량 확인할 수 있는 화면이 있는지 문의드립니다.","안녕하세요. CHECKExpert+ 입니다.

주식 관련 자산별로 20일 평균 거래량을 확인할 수 있는 화면은 아래와 같습니다.

해외ETF는 20일 평균거래량이 아니라 3개월 평균거래량을 제공하는 화면이 있습니다. 6460 화면(시세표)에서 항목설정 → 거래량(3M평균)을 선택하시면, ETF별로 3개월 평균거래량을 확인할 수 있습니다.

해외주식은 20일 평균거래량을 제공하는 화면은 없습니다. 6401 화면에서 해당 종목 코드를 입력한 후 평균값을 직접 계산하는 방법이 최선인 것 같습니다.

국내주식 또는 국내ETF는 1315 화면(이동평균)에서 해당종목의 코드를 입력하시면 확인 가능합니다.

감사합니다."
000240,"- 화면번호 : 6430 

- 문의내용 : MSCI 데이터에서  Price Gross 차이가 뭔가요? 그리고 23년말 기준 데이터 로 볼순없을까요?","안녕하세요. CHECKExpert+ 입니다.

MSCI에서는 지수를 Price Index, Gross Index, Net Index 3가지로 산출해 제공하고 있습니다. 

Price Index는 배당금을 제외하고 산출한 지수이고, Gross Index는 총배당금을 재투자하는 것을 포함해 산출한 지수입니다.

2023년말 기준으로 데이터를 보시려면 6430 화면에서 조회하시고자 하는 지수를 선택하신 후  좌측 하단에 기간을 '년'으로 선택하시고 조회하시면 됩니다.

감사합니다. "
000239,"- 화면번호 : 6430

- 문의내용 : MSCI 기준 국가별, 지역별 PBR 을 확인할수있는 화면이 어딜까요?","안녕하세요. CHECKExpert+ 입니다.

죄송하지만 MSCI 지수 관련 밸류에이션 데이터는 제공되지 않고 있습니다. 

감사합니다. "
000064,"- 화면번호 : 1815

- 문의내용 : 24년 최근 데이터는 보이나 23년 8월 31일 이전 (ie 23년 1월) 데이터는 안나오는데 이유가 있을까요?","안녕하세요. CHECKExpert+ 입니다.

CFD의 집계가 2023년 9월 1일부터 시작됐기 때문입니다. 

2023년 CFD로 일부 주식이 폭락하는 사태가 벌어지고 난 뒤에 데이터 집계와 관리의 필요성이 대두되면서 금융투자협회에서 집계하기 시작했습니다. 

감사합니다. "
000063,"- 화면번호 : 1815

- 문의내용 : 1815TR을 보고있는데 왜 잔고 데이터가 23년 8월 31일에서 끊길까요? ","안녕하세요. CHECKExpert+ 입니다.

1815 화면에 1/5일까지 데이터가 나오고 있습니다. 

혹시 상단에 기간 설정에 마지막일이 2024/8/15로 돼 있는지 확인해 주시기 바랍니다. 

기간 설정이 최근 날짜로 돼 있는데도 데이터가 안 나오면 죄송하지만 다시 한번만 문의 남겨주시기 바랍니다. 

감사합니다. "
000050,"- 화면번호 : 9091

- 문의내용 : 9091화면이 제대로 동작하지 않습니다. 과거에 질문을 올렸던 로그가 보이기를 기대하는데 9091에선 안 보이고, 오히려 9090 밑에 서브메뉴로 달리네요.","안녕하세요. CHECKExpert+ 입니다.

9091 화면의 경우 1:1 문의에 대해 답변하는 경우 사용하는 화면입니다. 사실 고객님들깨서 1:1 문의에 대해 답변하시지는 않기 때문에 사용하지 않는 화면이라고 보시면 됩니다. 

고객님들께서는 9090 화면에서 문의를 하고, 과거 문의 내용을 확인하셔야 합니다. 

감사합니다. "
000044,"- 화면번호 : 1820

- 문의내용 : 종목별 신용융자 잔고를 보려고 합니다. 당일 국내장이 끝나고 당일 신용융자 잔고 데이터가 언제쯤 반영이 되는지 궁금합니다. 추가로 혹시 open api에서는 데이터가 더 빠르게 반영되는지 궁금합니다. 궁극적으로, 신용융자 잔고 데이터를 당일 저녁에 받고자 합니다.","안녕하세요. CHECKExpert+ 입니다.

종목별 신용융자 잔고 데이터는 밤 11시에 DB에 입력이 됩니다. 

그리고 체크 단말기로의 배치는 익일 새벽에 진행됩니다. 

API로는 DB에 입력되는 즉시 받아보실 수 있기 때문에 API로 더 빠르게 받아보실 수 있습니다. 

감사합니다. "
000024,"- 화면번호 : 8110

- 문의내용 : 주식 그래프를 모니터링 용도로 사용하고 있습니다. 하루 동안의 전체 그래프(9시부터 현재시간까지)를 하루 종일 보고 있고 싶은데 어떻게 할 수 있나요? 처음 장 시작할 때는 데이터가 한두틱만 있다가 장 끝날 때는 9시부터 3시반까지 전부 보이는 형식을 원합니다. 현재 설정에서는 시간이 지나면 왼쪽으로 그래프가 이동해서 9시 시점이 사라집니다. ","안녕하세요. CHECKExpert+ 입니다.

미니화면을 활용하시기 바랍니다. 

1044 미니화면>종합차트에서는 선택하신 단일 지수/종목의 일중 추이를 보실 수 있고,

1036 미니화면>지수일중차트에서는 드랍다운 메뉴에서 선택한 3개지수에 대한 일중 추이를 보실 수 있습니다. 

감사합니다. "
000020,"- 화면번호 : 1446 외

- 문의내용 : ETF 설정환매를 from to 기간으로 조회하고 싶습니다.","안녕하세요. CHECKExpert+ 입니다.

1453 ETF 통계 > 기간별 통계 화면에서 기간으로 조회하실 수 있습니다. 

상단 메뉴에서 '설정/환매 상위'를 선택하신 후 조회하시고자 하는 기간으로 설정하시면 됩니다. 

감사합니다. "
000006,"- 화면번호 : 1440

- 문의내용 : 지수정보가 입수되지 않은 것으로 보입니다","안녕하세요. CHECKExpert+ 입니다.

ETF 지수정보의 경우 평소 장전 NAV가 산출되는 8시40분부터 제공이 됩니다. 

다만 새해 첫 영업일에는 10시 개장함에 따라 9시 40분부터 제공됐습니다. 

감사합니다. "
001698,"- 화면번호 : 

- 문의내용 : 현재 사용하고 있는 화면번호 등 해당 내용이 저장된 장소가 어디 인가요?","안녕하세요. CHECKExpert+ 입니다.

클래식형에서는 상단 메뉴 중 '보기'에서 '열린화면바 보기'를 선택하시면 현재 사용하고 있는 화면번호가 바에 표시됩니다. 

NEW형에서는 하단메뉴 중 '티커' 버튼을 누르시면 생기는 바의 좌측으로 열려 있는 화면번호를 확인하실 수 있습니다. 

감사합니다. "
001694,"- 화면번호 : 

- 문의내용 : 만기가 지나서 상장폐지된 만기형 ETF들의 종가와 NAV의 시계열 데이터를 어디 가면 조회할 수 있을까요?

KODEX 23-12 은행채의 일별 종가와 일별 NAV의 데이터를 받고 싶습니다","안녕하세요. CHECKExpert+ 입니다.

1862 주식>투자참고>상장폐지종목>일별추이 화면에서 확인하실 수 있습니다. 

해당 화면 코드 입력창에 KODEX 23-12 은행채(AA+이상)액티브의 종목코드인 '448320'을 입력하시면 일별 종가 추이를 확인하실 수 있습니다. 
다만 상폐종목에 대한 NAV 데이터는 제공되지 않습니다. 

감사합니다. "
